timestamp,open,high,low,close,volume
2021-08-23,27.5200,28.0700,27.3000,28.0600,21623200
2021-08-20,27.0000,27.1600,26.6100,27.1500,12380200
2021-08-19,27.0100,27.4200,26.8500,27.1600,13268300
2021-08-18,27.8300,28.0800,27.3900,27.4200,15096100
2021-08-17,27.4100,28.4500,27.3400,27.7500,20573000
2021-08-16,29.7800,29.7800,28.9300,29.3500,14341000
2021-08-13,29.4700,30.0500,29.3700,29.9200,14005900
2021-08-12,29.4100,29.7500,29.1600,29.4600,14004000
2021-08-11,28.8100,29.6000,28.6100,29.3000,13390700
2021-08-10,29.0500,29.4900,28.8300,28.8500,13686700
2021-08-09,28.8000,28.9500,28.3500,28.8400,16286100
2021-08-06,29.2700,29.3900,28.8000,29.1100,14177400
2021-08-05,29.0600,29.9000,28.5400,29.2700,56507000
2021-08-04,27.5300,27.5900,26.4400,26.7000,21395900
2021-08-03,27.3000,27.7000,26.6600,27.7000,14429500
2021-08-02,27.6400,28.2200,27.2400,27.2400,17892100
2021-07-30,28.0300,28.2500,27.4800,27.5000,16407700
2021-07-29,28.3200,28.4200,28.0000,28.2300,6641100
2021-07-28,28.0300,28.4400,27.6900,28.3400,12427900
2021-07-27,27.9100,27.9900,27.5300,27.8300,7589000
2021-07-26,27.3400,28.0400,27.3000,27.9500,10612200
2021-07-23,27.9000,27.9200,27.2700,27.4000,7786600
2021-07-22,27.7400,27.9500,27.3900,27.7700,6938800
2021-07-21,27.4600,28.0000,27.2500,27.7300,12522200
2021-07-20,26.6300,27.5700,26.3700,27.2900,13289900
2021-07-19,26.4400,26.9300,26.3300,26.8500,15690700
2021-07-16,27.9000,27.9600,26.9900,27.1700,12943000
2021-07-15,28.2800,28.3900,27.5900,27.7000,14019700
2021-07-14,28.8600,28.9900,28.1900,28.3700,15358200
2021-07-13,28.3300,28.6800,28.0400,28.5600,8303100
2021-07-12,28.4000,28.6000,28.0000,28.4500,12752000
2021-07-08,28.1000,28.5600,28.0000,28.1600,13601900
2021-07-07,28.9900,28.9900,28.2800,28.7300,15312800
2021-07-06,29.4100,29.6500,28.5800,28.5800,26023600
2021-07-05,29.7100,29.9800,29.2200,29.6900,9634300
2021-07-02,30.1100,30.1100,29.4100,30.0300,10689100
2021-07-01,30.5400,30.8400,29.5700,29.7600,14763200
2021-06-30,29.6000,30.4900,29.4700,30.2900,38464700
2021-06-29,29.3200,29.7600,29.0000,29.6800,18320100
2021-06-28,29.4900,29.5600,29.0200,29.2800,11133400
2021-06-25,29.9200,30.1600,29.3000,29.4100,18190800
2021-06-24,29.7900,30.0100,29.4300,29.8900,13291900
2021-06-23,29.4800,29.8800,29.1900,29.4400,11799300
2021-06-22,29.3200,29.5800,28.9000,29.3700,13954100
2021-06-21,28.8300,29.4500,28.7900,29.3400,9086900
2021-06-18,28.4700,28.7600,28.1100,28.7400,20185800
2021-06-17,29.4900,29.6500,28.3700,28.6600,17544000
2021-06-16,29.5900,29.7900,29.1200,29.5700,27140300
2021-06-15,29.4400,29.5800,29.0800,29.4700,11736300
2021-06-14,29.6100,29.9900,29.1200,29.2600,17506300
2021-06-11,29.5800,29.7000,29.0700,29.3000,15316600
2021-06-10,29.6100,29.8800,29.3900,29.5300,19424900
2021-06-09,29.4400,29.9400,29.3000,29.5100,26256300
2021-06-08,28.4900,29.5600,28.4400,29.4100,51124900
2021-06-07,28.9600,29.1300,28.4800,28.7200,39073800
2021-06-04,28.5900,29.2900,28.3500,28.9300,42036700
2021-06-02,27.2900,28.5900,27.2500,28.5800,44595100
2021-06-01,27.2000,27.4800,26.7700,27.2300,29284300
2021-05-31,26.7100,26.8600,26.4200,26.6500,20356900
2021-05-28,25.5000,26.7600,25.5000,26.7100,47434000
2021-05-27,25.3700,25.6000,25.0600,25.2500,20342900
2021-05-26,25.2800,25.4700,25.0200,25.4500,10583800
2021-05-25,25.7000,25.8200,25.1300,25.2200,19243700
2021-05-24,25.6800,25.7500,25.2900,25.6800,14577500
2021-05-21,25.2800,25.5300,25.2400,25.4200,17776900
2021-05-20,25.4900,25.5800,25.0100,25.1700,12091900
2021-05-19,25.1900,25.5900,25.0800,25.5200,13814600
2021-05-18,25.9500,26.0500,25.4900,25.6000,14042200
2021-05-17,25.6200,25.9400,25.5500,25.9400,11332900
2021-05-14,25.2000,25.7300,25.0300,25.6400,21015200
2021-05-13,24.3400,24.5800,23.9500,24.5000,15438200
2021-05-12,24.3600,24.8700,24.2300,24.2400,18023700
2021-05-11,23.9100,24.6000,23.8400,24.5500,18113200
2021-05-10,24.2100,24.4600,24.0300,24.2300,20929600
2021-05-07,23.2200,23.9300,23.0400,23.9300,21158900
2021-05-06,23.2500,23.4400,23.0000,23.0700,12774900
2021-05-05,22.7600,23.5700,22.6800,23.4000,21200500
2021-05-04,23.0600,23.2600,22.4800,22.4800,14890200
2021-05-03,23.1700,23.2600,22.7700,23.0100,14754100
2021-04-30,22.8900,23.4100,22.7800,23.1000,27261900
2021-04-29,23.6900,23.9000,22.8600,23.0800,18008600
2021-04-28,22.9600,23.6200,22.9300,23.5500,18943000
2021-04-27,23.3500,23.6400,22.6200,22.7400,21835800
2021-04-26,23.3500,23.5800,23.1800,23.3000,11632200
2021-04-23,23.3600,23.4100,23.0100,23.2700,16609100
2021-04-22,23.5100,23.5400,23.1100,23.2100,17082800
2021-04-20,23.8100,24.0100,23.1100,23.2000,31887700
2021-04-19,22.6500,24.2900,22.4800,23.7900,53548900
2021-04-16,22.8100,23.1300,22.4300,22.6500,38415700
2021-04-15,23.5100,23.6100,22.8600,22.9200,15561800
2021-04-14,23.8600,24.4300,23.6700,24.1200,26055600
2021-04-13,23.7500,23.9400,23.5300,23.7400,17199800
2021-04-12,23.6000,24.2300,23.5900,23.7400,13931300
2021-04-09,23.1400,23.6200,23.0900,23.5000,21459600
2021-04-08,23.7700,23.8100,23.2100,23.4000,21133100
2021-04-07,23.5900,24.0600,23.5700,23.8000,22260800
2021-04-06,23.9000,24.1400,23.5900,23.6900,15675800
2021-04-05,23.8000,23.9500,23.5300,23.8700,13323600
2021-04-01,24.1300,24.1800,23.4700,23.6200,17161800
2021-03-31,23.5900,24.1200,23.5400,23.9400,16786800
